ratio,trial,C,val-acc,val-f,test-acc,test-f
0.0,15.0,5.0,0.7777777777777778,0.7954545454545454,0.7283950617283951,0.6666666666666667
0.0,15.0,1.0,0.7901234567901234,0.8045977011494252,0.7777777777777778,0.7096774193548386
0.0,15.0,0.2,0.8271604938271605,0.8292682926829268,0.8024691358024691,0.7419354838709677
0.0,15.0,0.04,0.8641975308641975,0.8641975308641976,0.8518518518518519,0.7931034482758621
0.0,15.0,0.008,0.8518518518518519,0.8461538461538461,0.8395061728395061,0.7719298245614034
0.0,15.0,0.0016,0.5185185185185185,0.09302325581395349,0.6419753086419753,0.0
0.0,16.0,625.0,0.8148148148148148,0.7540983606557377,0.8024691358024691,0.8048780487804876
0.0,16.0,125.0,0.8148148148148148,0.7540983606557377,0.8024691358024691,0.8048780487804876
0.0,16.0,25.0,0.8148148148148148,0.7540983606557377,0.8024691358024691,0.8048780487804876
0.0,16.0,5.0,0.8148148148148148,0.7457627118644068,0.8271604938271605,0.8157894736842106
0.0,16.0,1.0,0.8148148148148148,0.7457627118644068,0.8024691358024691,0.7948717948717949
0.0,16.0,0.2,0.8271604938271605,0.7666666666666667,0.8271604938271605,0.8157894736842106
0.0,16.0,0.04,0.8518518518518519,0.7999999999999999,0.7901234567901234,0.7671232876712328
0.0,16.0,0.008,0.8765432098765432,0.8387096774193549,0.8024691358024691,0.7837837837837837
0.0,16.0,0.0016,0.5679012345679012,0.0,0.5061728395061729,0.0
0.0,17.0,625.0,0.8271604938271605,0.7666666666666667,0.8148148148148148,0.8051948051948051
0.0,17.0,125.0,0.8271604938271605,0.7666666666666667,0.8148148148148148,0.8051948051948051
0.0,17.0,25.0,0.8271604938271605,0.7666666666666667,0.8148148148148148,0.8051948051948051
0.0,17.0,5.0,0.8271604938271605,0.7666666666666667,0.8148148148148148,0.8051948051948051
0.0,17.0,1.0,0.8148148148148148,0.7457627118644068,0.8148148148148148,0.8051948051948051
0.0,17.0,0.2,0.8148148148148148,0.7457627118644068,0.8271604938271605,0.8205128205128205
0.0,17.0,0.04,0.8395061728395061,0.7719298245614035,0.8518518518518519,0.8378378378378377
0.0,17.0,0.008,0.8518518518518519,0.7857142857142857,0.8641975308641975,0.8533333333333334
0.0,17.0,0.0016,0.691358024691358,0.2857142857142857,0.6172839506172839,0.3111111111111111
0.0,18.0,625.0,0.8271604938271605,0.7941176470588235,0.8395061728395061,0.8115942028985507
0.0,18.0,125.0,0.8271604938271605,0.7941176470588235,0.8395061728395061,0.8115942028985507
0.0,18.0,25.0,0.8271604938271605,0.7941176470588235,0.8395061728395061,0.8115942028985507
0.0,18.0,5.0,0.8271604938271605,0.7941176470588235,0.8395061728395061,0.8115942028985507
0.0,18.0,1.0,0.8271604938271605,0.7999999999999999,0.8518518518518519,0.8285714285714286
